N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.8107485138905738,0.7552741272473923,0.7413255124063736,0.07219570405727924,0.5240850936691932,0.12562160832909647
Model2,500,2,1,0.8324639087710785,0.766544251275767,0.7910143362952994,0.2386634844868735,0.41831415233319097,0.28855826689901587
Model3,500,3,1,0.8132961300497392,0.7614210128400304,0.7712789379443271,0.24284009546539378,0.3680694706305743,0.2351587765449033
Model4,500,1,2,0.8765012738080796,0.8587017429787822,0.8548863117327631,0.43138424821002386,0.6713487446763285,0.49164600743195475
Model5,500,2,2,0.8908164503214849,0.8948222739354618,0.8874097982875004,0.5781622911694511,0.7698110114166363,0.6458768008363293
Model6,500,3,2,0.8353754700958389,0.8708104642552554,0.8486248849075668,0.6205250596658711,0.6572147090157705,0.6351336998144692
Model7,800,1,2,0.8883901492175179,0.8691315166822252,0.8741201288721842,0.5190930787589498,0.6789329371956707,0.5731470771791135
Model8,800,2,2,0.9099842290428242,0.9047833594867739,0.8983569945397679,0.5787589498806682,0.8551229180722818,0.674430668300665
Model9,800,3,2,0.905738202110882,0.9048962101290083,0.9022513047422707,0.6223150357995226,0.7909987581984177,0.6898083514174037
